'USER_ID1','USER_ID2','TIMESTAMP'
88,1650,2025-10-13
509,763,2025-08-19
1811,436,2025-05-30
1457,1675,2025-11-05
56,939,2026-07-25
1562,1797,2024-11-02
1190,410,2025-10-08
665,1994,2026-05-05
169,1848,2025-04-04
1798,1635,2025-03-16
1364,1669,2026-03-23
13,1380,2025-01-14
76,1346,2025-08-27
1446,1500,2025-11-20
492,93,2025-03-07
1654,1251,2025-05-29
965,746,2024-12-24
1947,1596,2025-02-24
792,1179,2026-06-20
849,1631,2025-09-12
1924,1703,2025-06-20
1616,1053,2025-05-02
990,91,2025-08-29
939,275,2025-06-04
678,397,2025-06-24
57,720,2025-12-26
1605,202,2025-05-28
1423,897,2026-03-05
1269,1993,2026-06-20
994,1516,2024-12-16
1442,1163,2025-08-03
1723,475,2025-05-22
396,745,2026-04-24
1929,1871,2024-11-27
1268,131,2026-01-27
653,312,2025-10-26
1463,1939,2025-10-01
1743,1150,2025-06-19
1477,636,2025-04-10
394,1086,2026-08-02
1519,1558,2025-08-27
451,241,2026-08-07
1561,1340,2025-07-04
1438,1006,2025-05-02
1382,1087,2025-08-26
1459,766,2026-05-10
841,999,2026-04-26
567,1240,2026-05-15
410,58,2025-03-21
1109,666,2025-07-31
1989,514,2025-03-23
1320,212,2025-01-13
352,1633,2025-11-15
1146,1894,2025-10-09
1194,1515,2026-02-27
655,776,2026-04-11
812,239,2025-03-18
1753,1147,2025-04-20
17,1798,2025-02-18
1297,1063,2025-09-07
622,805,2026-07-31
1976,1048,2026-06-10
985,1535,2026-05-11
1141,337,2026-07-15
28,1232,2026-06-23
313,38,2025-10-16
1821,1889,2025-04-13
1807,123,2025-12-21
1740,7,2026-07-04
1339,739,2025-01-25
862,1805,2025-09-26
946,1785,2025-04-14
1839,1296,2026-02-10
1142,1699,2025-07-06
862,1706,2025-02-26
1058,293,2024-11-02
1501,742,2025-04-13
839,1377,2025-04-12
1341,1958,2025-05-23
581,390,2026-01-14
58,639,2026-07-16
1232,673,2025-01-27
1834,303,2025-01-29
1462,256,2025-08-23
1586,1128,2026-07-09
1700,459,2025-04-12
728,544,2024-11-08
25,959,2024-11-11
1820,440,2025-06-23
937,1991,2026-04-23
1270,1317,2024-11-14
795,1168,2026-03-03
983,100,2025-08-03
1823,257,2025-09-23
1836,1380,2025-08-03
1070,706,2026-06-16
6,304,2025-01-16
565,246,2025-09-21
1068,93,2026-07-24
1145,1449,2025-11-25
543,204,2026-02-04
1255,1089,2024-10-18
1729,1165,2026-05-09
1118,171,2024-10-30
841,1403,2025-04-02
834,63,2025-03-03
1488,1834,2026-05-16
1473,246,2025-12-05
730,1040,2024-12-18
1258,1146,2025-05-29
200,1871,2025-02-05
1320,753,2025-09-28
108,799,2026-05-22
382,630,2026-02-13
451,1459,2025-11-29
1652,1686,2026-07-23
1908,108,2025-01-09
1985,1341,2025-03-05
1954,1464,2025-11-24
1636,727,2025-11-23
1539,615,2025-09-23
1476,1468,2025-05-29
1019,1902,2026-05-15
1285,1680,2024-12-18
1748,251,2025-01-12
1321,1277,2025-11-15
151,1907,2026-03-31
1347,735,2026-03-23
1519,1355,2025-11-30
337,330,2026-06-26
664,789,2025-03-19
623,1290,2025-08-31
1708,1792,2025-02-20
677,344,2026-06-27
155,1416,2026-07-17
412,1371,2026-03-22
1334,62,2025-07-20
554,57,2025-11-25
849,1944,2025-03-20
1618,1914,2026-04-06
679,665,2026-07-06
4,1590,2025-08-31
1178,1707,2026-03-17
424,498,2025-11-24
142,563,2025-12-10
884,518,2025-08-20
1196,200,2025-09-14
592,968,2025-08-06
425,843,2026-05-08
1263,304,2026-03-15
1490,413,2025-10-12
872,823,2026-01-28
106,1958,2025-07-23
561,1475,2026-07-05
1195,374,2024-11-26
563,747,2026-08-06
1515,543,2026-07-31
980,982,2025-12-09
1789,651,2025-04-06
596,617,2025-12-03
414,576,2026-05-12
8,1588,2025-09-06
170,213,2026-04-25
393,1471,2026-07-30
1468,1149,2025-07-27
1994,81,2026-04-29
118,1551,2024-11-18
1450,186,2026-03-14
1057,553,2025-06-12
654,721,2024-11-07
1973,756,2026-04-21
1551,820,2025-01-16
84,1959,2026-05-20
888,190,2026-07-09
1635,933,2025-09-25
1150,828,2026-03-27
1149,826,2025-04-24
1398,596,2025-05-11
1627,1500,2025-03-23
1825,791,2025-04-20
1978,1243,2024-11-26
751,1714,2026-02-25
1745,352,2025-03-17
742,1255,2026-07-26
734,1403,2025-03-06
398,850,2026-06-16
300,333,2025-12-16
1581,832,2026-02-23
1310,344,2025-09-14
721,24,2025-04-20
672,930,2025-11-08
1580,1845,2026-06-02
314,1214,2026-04-07
1699,1672,2026-01-23
661,1434,2025-12-18
1921,1370,2024-10-16
93,1748,2025-03-08
256,1333,2025-11-04
109,29,2026-04-15
506,296,2025-03-03
1861,1477,2025-05-24
1449,936,2025-02-11
1414,1358,2024-12-17
1039,1106,2025-07-03
885,1207,2024-12-01
282,1122,2025-04-25
1489,997,2025-12-14
1985,1183,2026-02-01
469,1261,2024-12-13
178,912,2026-02-19
1671,106,2024-11-06
50,1943,2025-08-03
1898,1690,2025-09-12
1721,1861,2026-07-10
386,1041,2025-11-14
521,1974,2025-05-10
1650,190,2025-04-13
992,284,2026-02-26
1066,1107,2026-07-23
939,1401,2025-11-28
288,1539,2025-05-19
502,1466,2024-10-20
271,1769,2025-08-06
106,1334,2026-05-01
1618,1848,2024-12-14
768,1196,2025-07-01
707,1681,2025-05-09
229,66,2026-04-28
1626,388,2024-11-25
1904,1339,2024-11-16
1602,392,2026-07-31
1995,1333,2024-11-19
1971,382,2025-07-03
499,444,2026-02-07
153,128,2025-07-24
1340,244,2026-08-06
1903,491,2026-06-16
1920,174,2025-04-14
