'USER_ID1','USER_ID2','TIMESTAMP'
1076,1978,2026-01-05
970,245,2026-01-12
766,1255,2026-03-02
498,169,2025-04-25
1721,206,2026-02-27
1139,643,2026-01-01
371,1601,2025-06-14
961,1918,2025-12-29
1067,871,2025-10-02
1740,1550,2025-12-15
807,1782,2024-10-20
116,455,2025-07-24
477,730,2026-07-12
867,532,2025-06-21
279,1544,2026-08-07
645,1217,2026-05-12
516,931,2025-06-13
966,1478,2025-11-16
1036,1691,2025-09-07
1211,1115,2026-04-19
1728,1728,2026-07-02
32,1709,2026-05-25
54,1260,2026-02-11
163,981,2025-03-06
1872,140,2025-08-20
812,1862,2025-11-10
1115,975,2025-04-11
152,1596,2024-12-07
1880,1460,2025-02-22
1222,1656,2025-02-18
1526,1641,2024-12-05
456,978,2026-01-16
108,1422,2026-05-07
721,522,2026-04-28
1455,1793,2026-01-13
967,110,2025-07-26
1256,230,2025-09-02
1645,1767,2025-07-16
1056,205,2026-05-14
1117,1623,2025-10-26
300,48,2025-10-24
895,376,2024-12-24
786,235,2026-04-08
1273,815,2025-08-04
487,344,2026-06-12
494,1201,2026-05-23
349,487,2025-05-09
859,966,2025-03-11
1971,905,2026-01-11
1951,1996,2025-06-03
703,1638,2026-05-23
1927,652,2024-10-31
123,976,2025-10-05
1204,442,2025-04-01
226,105,2025-03-04
151,871,2026-06-09
773,241,2026-01-13
4,1191,2025-09-26
581,1603,2025-04-17
297,930,2025-02-09
141,1814,2025-03-20
1954,306,2026-01-17
1016,1321,2025-01-31
666,631,2026-06-17
1637,1840,2025-05-02
1754,720,2026-06-20
717,147,2025-04-20
423,1618,2024-10-25
1906,976,2025-11-04
1653,1526,2025-01-18
394,369,2025-07-03
1355,1138,2026-03-23
1532,616,2025-09-09
552,287,2025-04-14
1504,1496,2025-12-31
20,828,2026-07-16
1175,1704,2025-02-28
1374,1886,2025-02-16
772,1775,2026-01-01
244,749,2025-06-01
1523,1269,2025-08-14
1696,1759,2025-08-29
1503,1379,2025-01-20
173,1966,2025-06-28
881,1648,2026-02-22
583,933,2025-03-27
1244,13,2026-07-03
1813,1054,2025-10-06
1641,1854,2025-03-23
940,963,2026-07-26
286,1701,2024-12-31
1997,806,2026-05-12
1908,1577,2024-11-26
1378,33,2025-07-01
431,1687,2025-07-29
770,781,2026-03-07
736,1763,2026-07-13
229,76,2025-06-08
1122,1134,2024-12-26
1571,754,2026-01-05
906,755,2025-09-28
727,375,2025-12-10
342,77,2025-11-11
964,211,2025-06-05
469,1073,2026-04-30
792,181,2024-12-02
1014,1184,2025-12-14
1222,1137,2024-11-06
1267,853,2026-02-08
